seed_label                    , seed_id         , seed_title                                                                                , model     , log_file                                                               , query_hint                                                                             , n_hits, hybrid_median      , hybrid_min         , hybrid_max         , novel_fraction_hybrid<0.25, n_sbert, sbert_median      , sbert_min          , sbert_max         , novel_fraction_sbert<0.55, joint_fraction_novel
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  , deepseekv3, 20250919_151648_multi-agent_systems_LLM_conversation_programming.json  , multi-agent systems LLM conversation programming                                       ,      5, 0.7824887952559849 , 0.7494141004615409 , 0.7919228211541012 ,                        0.0,       5, 0.4763593077659607, 0.35983073711395264, 0.640029788017273 ,                      0.6 ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  , deepseekv3, 20250919_151852_multi-agent_LLM_systems_conversational_memory.json     , multi-agent LLM systems conversational memory                                          ,      5, 0.7785610841687387 , 0.7693847072385287 , 0.8054495530701815 ,                        0.0,       5, 0.4683316946029663, 0.27972647547721863, 0.6096125841140747,                      0.8 ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  , deepseekv3, 20250919_151955_multi-agent_LLM_systems_human-in-the-loop.json         , multi-agent LLM systems human-in-the-loop                                              ,      5, 0.7589289055955707 , 0.7413163275627951 , 0.7772320574943763 ,                        0.0,       5, 0.521306037902832 , 0.4179114103317261 , 0.6648881435394287,                      0.8 ,                  0.0
AutoGen2308.08155             , arXiv:2308.08155, AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation                  , deepseekv3, 20250919_152101_multi-agent_LLM_systems_task_specialization.json       , multi-agent LLM systems task specialization                                            ,      5, 0.7837524906896265 , 0.7693847072385287 , 0.7935595701219069 ,                        0.0,       5, 0.4862760901451111, 0.41980433464050293, 0.5738773345947266,                      0.8 ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        , deepseekv3, 20250919_141830_consistency_models_diffusion_distillation.json         , consistency models diffusion distillation                                              ,      5, 0.6963053620455    , 0.6725134352272321 , 0.7188743931612502 ,                        0.0,       5, 0.7143371105194092, 0.5856640338897705 , 0.7999424934387207,                      0.0 ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        , deepseekv3, 20250919_142102_consistency_models_zero-shot_editing.json              , consistency models zero-shot editing                                                   ,      5, 0.6704089551713982 , 0.655393777716728  , 0.6847415426168753 ,                        0.0,       5, 0.6328405737876892, 0.5041062831878662 , 0.6707896590232849,                      0.2 ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        , deepseekv3, 20250919_152423_consistency_models_multi-modal_applications.json       , consistency models multi-modal applications                                            ,      5, 0.6302218223590756 , 0.5880904047420477 , 0.6416378623290684 ,                        0.0,       4, 0.4437991976737976, 0.24256452918052673, 0.5783001184463501,                      0.75,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        , deepseekv3, 20250919_152543_consistency_models_generative_modeling.json            , consistency models generative modeling                                                 ,      5, 0.6395842368615161 , 0.588217072217515  , 0.6541705880277072 ,                        0.0,       5, 0.4248681664466858, 0.28824296593666077, 0.5684257745742798,                      0.8 ,                  0.0
Consistency-Models2303.01469  , arXiv:2303.01469, Consistency Models                                                                        , deepseekv3, 20250919_152657_consistency_models_zero-shot_editing.json              , consistency models zero-shot editing                                                   ,      5, 0.6704089551713982 , 0.655393777716728  , 0.6847415426168753 ,                        0.0,       5, 0.6328405737876892, 0.5041062831878662 , 0.6707896590232849,                      0.2 ,                  0.0
Decision Transformer2106.01345, arXiv:2106.01345, Decision Transformer: Reinforcement Learning via Sequence Modeling                        , deepseekv3, 20250919_153026_reinforcement_learning_transformers_sequence_model.json, reinforcement learning transformers sequence modeling                                  ,      5, 0.5957605475753283 , 0.581252962415776  , 0.6370023960567459 ,                        0.0,       5, 0.6224095821380615, 0.47411873936653137, 0.6519490480422974,                      0.4 ,                  0.0
