seed_label,seed_id,seed_title,model,log_file,query_hint,n_hits,hybrid_median,hybrid_min,hybrid_max,novel_fraction_hybrid<0.25,n_sbert,sbert_median,sbert_min,sbert_max,novel_fraction_sbert<0.55,joint_fraction_novel
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,llama3.1,20250919_105227_multi-agent_conversation_systems_for_LLM_applicati.json,multi-agent conversation systems for LLM applications,5,0.7677681786523644,0.7429788246971326,1.0,0.0,4,0.640029788017273,0.41980433464050293,1.0,0.25,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,llama3.1,20250919_105433_multi-agent_systems_conversation_programming_tool_.json,multi-agent systems + conversation programming + tool use + RAG + evaluation,5,0.7550099409254853,0.6583208603777189,0.8015012579898484,0.0,5,0.5150240659713745,0.30068936944007874,0.6037754416465759,0.6,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,llama3.1,20250919_105655_meta-learning_for_multi-agent_conversation_systems.json,meta-learning for multi-agent conversation systems,5,0.7550665301813954,0.6439211210644613,0.7552062380591769,0.0,3,0.23655113577842712,0.20830796658992767,0.3419491946697235,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,llama3.1,20250919_105912_multi-agent_conversation_systems_for_human-in-the-.json,multi-agent conversation systems for human-in-the-loop decision making,1,0.7550099409254853,0.7550099409254853,0.7550099409254853,0.0,1,0.0,0.0,0.0,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,llama3.1,20250919_105942_multi-agent_conversation_systems_for_human-in-the-.json,multi-agent conversation systems for human-in-the-loop decision making,1,0.7550099409254853,0.7550099409254853,0.7550099409254853,0.0,1,0.0,0.0,0.0,1.0,0.0
AutoGen2308.08155,arXiv:2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,llama3.1,20250919_105953_human-in-the-loop_decision_making_with_conversatio.json,human-in-the-loop decision making with conversational agents and large language models,1,0.7550099409254853,0.7550099409254853,0.7550099409254853,0.0,1,0.0,0.0,0.0,1.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,llama3.1,20250919_110236_generative_modeling_one-step_sampling_probability_.json,generative modeling one-step sampling probability flow ODE zero-shot editing,5,0.6673178652124978,0.6284148779062562,0.703923107461838,0.0,5,0.6467534303665161,0.51463782787323,0.719207227230072,0.4,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,llama3.1,20250919_110516_generative_modeling_with_dynamic_consistency_const.json,generative modeling with dynamic consistency constraints,5,0.6494505049374042,0.6231449138940806,0.7191120637917339,0.0,5,0.557619035243988,0.4449652433395386,0.6128786206245422,0.4,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,llama3.1,20250919_110726_generative_modeling_with_dynamic_constraints_and_t.json,generative modeling with dynamic constraints and temporal consistency,5,0.6285240624297457,0.5948844516950185,0.7060909312376817,0.0,4,0.5751174688339233,0.2917560935020447,0.7522686719894409,0.5,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,llama3.1,20250919_110944_generative_modeling_with_probabilistic_circuits_an.json,generative modeling with probabilistic circuits and neural ordinary differential equations,1,0.6284513371061128,0.6284513371061128,0.6284513371061128,0.0,1,0.0,0.0,0.0,1.0,0.0
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,llama3.1,20250919_111125_generative_models_with_dynamic_constraints_and_pro.json,generative models with dynamic constraints and probabilistic circuits,4,0.6224797738812105,0.5364330976808482,0.6284148779062562,0.0,0,,,,,
Consistency-Models2303.01469,arXiv:2303.01469,Consistency Models,llama3.1,20250919_111139_generative_models_with_dynamic_constraints_and_pro.json,generative models with dynamic constraints and probabilistic circuits for image generation,2,0.5364330976808482,0.5364330976808482,0.5364330976808482,0.0,0,,,,,
Decision Transformer2106.01345,arXiv:2106.01345,Decision Transformer: Reinforcement Learning via Sequence Modeling,llama3.1,20250919_111430_reinforcement_learning_via_sequence_modeling_for_m.json,reinforcement learning via sequence modeling for multi-agent systems,5,0.5810595094846271,0.558784556854698,0.6366416830626321,0.0,5,0.4690776467323303,0.42123615741729736,0.49960702657699585,1.0,0.0
Decision Transformer2106.01345,arXiv:2106.01345,Decision Transformer: Reinforcement Learning via Sequence Modeling,llama3.1,20250919_111655_reinforcement_learning_via_sequence_modeling_for_m.json,reinforcement learning via sequence modeling for multi-agent systems,5,0.5810595094846271,0.558784556854698,0.6366416830626321,0.0,5,0.4690776467323303,0.42123615741729736,0.49960702657699585,1.0,0.0
Decision Transformer2106.01345,arXiv:2106.01345,Decision Transformer: Reinforcement Learning via Sequence Modeling,llama3.1,20250919_111843_reinforcement_learning_sequence_modeling_multimoda.json,reinforcement learning + sequence modeling + multimodal fusion,5,0.5863805625294661,0.5809762685785407,1.0,0.0,4,0.5083824396133423,0.3290666341781616,0.9999998807907104,0.75,0.0
Decision Transformer2106.01345,arXiv:2106.01345,Decision Transformer: Reinforcement Learning via Sequence Modeling,llama3.1,20250919_112030_reinforcement_learning_with_cognitive_architecture.json,reinforcement learning with cognitive architectures and neural-symbolic integration,5,0.5768053867673165,0.5743514007183503,0.5807823593480654,0.0,1,0.4027866721153259,0.4027866721153259,0.4027866721153259,1.0,0.0
Decision Transformer2106.01345,arXiv:2106.01345,Decision Transformer: Reinforcement Learning via Sequence Modeling,llama3.1,20250919_112235_reinforcement_learning_counterfactual_reasoning_gr.json,reinforcement learning + counterfactual reasoning + graph neural networks,5,0.5989760527936026,0.5674374844022113,0.6423535664535338,0.0,5,0.31205010414123535,0.1851460337638855,0.431289941072464,1.0,0.0
Economics1804.05785,arXiv:1804.05785,Estimating Dynamic Treatment Effects in Event Studies With Heterogeneous Treatment Effects,llama3.1,20250920_105704_heterogeneous_treatment_effects_event_studies_mach.json,heterogeneous treatment effects event studies machine learning,5,0.5040979661491931,0.48659257105399606,1.0,0.0,4,0.5687854290008545,0.3226924538612366,0.9999998807907104,0.5,0.0
Economics1804.05785,arXiv:1804.05785,Estimating Dynamic Treatment Effects in Event Studies With Heterogeneous Treatment Effects,llama3.1,20250920_105836_estimating_dynamic_treatment_effects_with_machine_.json,estimating dynamic treatment effects with machine learning and auxiliary data,1,0.4865137452549983,0.4865137452549983,0.4865137452549983,0.0,1,0.0,0.0,0.0,1.0,0.0
Economics1804.05785,arXiv:1804.05785,Estimating Dynamic Treatment Effects in Event Studies With Heterogeneous Treatment Effects,llama3.1,20250920_105845_machine_learning_for_heterogeneous_treatment_effec.json,machine learning for heterogeneous treatment effects with staggered adoption,3,0.4953289728154048,0.48650257674066355,0.5060872806118719,0.0,3,0.5364705324172974,0.5309119820594788,0.656801700592041,0.6666666666666666,0.0
Economics1804.05785,arXiv:1804.05785,Estimating Dynamic Treatment Effects in Event Studies With Heterogeneous Treatment Effects,llama3.1,20250920_110028_estimating_dynamic_treatment_effects_in_event_stud.json,estimating dynamic treatment effects in event studies with heterogeneous treatment effects and machine learning,2,1.0,0.48648093486296806,1.0,0.0,2,0.9999998807907104,0.3402685523033142,0.9999998807907104,0.5,0.0
Economics1804.05785,arXiv:1804.05785,Estimating Dynamic Treatment Effects in Event Studies With Heterogeneous Treatment Effects,llama3.1,20250920_110215_event_study_methodology_staggered_adoption_heterog.json,event study methodology + staggered adoption + heterogeneous treatment effects + machine learning + causal inference,5,0.4865137452549983,0.46351208759492557,0.488740328770113,0.0,4,0.4979917109012604,0.41997379064559937,0.5235475301742554,1.0,0.0
Economics1804.05785,arXiv:1804.05785,Estimating Dynamic Treatment Effects in Event Studies With Heterogeneous Treatment Effects,llama3.1,20250920_110438_graph_neural_networks_for_heterogeneous_treatment_.json,graph neural networks for heterogeneous treatment effects with staggered adoption,1,0.4865137452549983,0.4865137452549983,0.4865137452549983,0.0,1,0.0,0.0,0.0,1.0,0.0
GNNExplaine1903.03894,arXiv:1903.03894,GNNExplainer: Generating Explanations for Graph Neural Networks,llama3.1,20250920_110938_graph_neural_networks_explainability_limitations.json,graph neural networks explainability limitations,5,0.5554331883946798,0.49338777079063956,0.582866423364798,0.0,5,0.7517848610877991,0.6734243631362915,0.8240211009979248,0.0,0.0
GNNExplaine1903.03894,arXiv:1903.03894,GNNExplainer: Generating Explanations for Graph Neural Networks,llama3.1,20250920_111203_Graph_Neural_Networks_AND_cognitive_architectures_.json,Graph Neural Networks AND cognitive architectures AND human reasoning,5,0.49307348334952283,0.47184582423347965,0.5153938011081017,0.0,4,0.46285033226013184,0.24459117650985718,0.4771575927734375,1.0,0.0
GNNExplaine1903.03894,arXiv:1903.03894,GNNExplainer: Generating Explanations for Graph Neural Networks,llama3.1,20250920_111438_Graph_Neural_Networks_knowledge_graph_embedding_mu.json,Graph Neural Networks + knowledge graph embedding + multimodal learning,5,0.49383361457327524,0.4922536780348208,0.5349915829578119,0.0,5,0.5577313303947449,0.42190447449684143,0.6359719038009644,0.4,0.0
GNNExplaine1903.03894,arXiv:1903.03894,GNNExplainer: Generating Explanations for Graph Neural Networks,llama3.1,20250920_111652_Graph_Neural_Network_Neurosymbolic_Learning.json,Graph Neural Network + Neurosymbolic Learning,5,0.5289940699630784,0.49448996293516445,0.5655816653875603,0.0,3,0.5695289373397827,0.45462867617607117,0.5996114015579224,0.3333333333333333,0.0
GNNExplaine1903.03894,arXiv:1903.03894,GNNExplainer: Generating Explanations for Graph Neural Networks,llama3.1,20250920_111907_graph_neural_networks_adversarial_robustness_expla.json,graph neural networks + adversarial robustness + explainability,5,0.5229225886535392,0.49374431139554986,0.5856303613943398,0.0,3,0.5721677541732788,0.4754142165184021,0.6362020969390869,0.3333333333333333,0.0
